,County,Volume Sold (Liters),Bottles Sold,Sale (Dollars),Average Bottle Price,Stores per County,Total Population,People per Store,Total Male Population,Total Female Population,Total 18 and Over Population,Total 21 and Over Population,Total White Population,Total African American Population,Total American Indian/Native Alaskan,Total Asian Population,Total Native Hawaiian/Pacific Islander Population,Total Some Other Race,Land Area (Sq. Miles),Population Density,Number of Homes,Housing Density,Unemployment Rate (%),Median Income (USD)
0,Adair,42218.04000000004,43482,529851.1800000047,12.185529184490242,8,7426,928,3667,3759,5825,5607,7312,27,2,24,0,13,570.27,13.5,3698,6.5,3.2,46526
1,Adams,9191.490000000013,10173,122431.2900000001,12.034924800943683,1,3892,3892,1942,1950,3074,2990,3788,27,2,11,0,0,425.51,9.5,2010,4.7,3.2,48043
2,Allamakee,81060.4100000001,74514,1002315.4200000148,13.451370480715232,6,14060,2343,7169,6891,10902,10533,13592,99,29,39,3,46,658.77,22.4,7617,11.9,6.0,45890
3,Appanoose,75207.14999999998,81572,1011655.3700000091,12.401992963271821,6,12669,2111,6302,6367,9888,9555,12347,43,4,47,0,13,516.24,25.9,6633,13.3,6.6,41394
4,Audubon,18283.049999999996,18552,210962.79999999973,11.371431651573939,3,5869,1956,2858,3011,4638,4464,5732,19,39,19,0,0,443.41,13.8,2972,6.7,2.6,46979
5,Benton,74405.73000000014,70056,901796.4800000078,12.872508850062918,6,25803,4300,12888,12915,19352,18542,25226,181,8,55,0,65,718.49,36.4,11095,15.5,4.7,60606
6,Black Hawk,1338341.0700001053,1729609,19800944.350001667,11.448220002325188,73,132496,1815,64707,67789,103980,94854,112912,12130,327,2246,23,1997,572.68,231.7,55887,98.8,6.6,48369
7,Boone,170123.5500000008,165439,2164184.5000000014,13.081465071718286,15,26401,1760,13244,13157,20436,19439,25658,235,54,85,10,30,573.64,46.0,11756,20.6,4.7,52985
8,Bremer,170416.85000000076,158907,2165768.2599999555,13.629155795527922,9,24539,2726,12103,12436,19182,17596,23737,269,49,187,45,60,439.4,55.7,9915,22.8,3.9,62163
9,Buchanan,122539.66000000064,123120,1583498.4699999837,12.861423570500193,10,20998,2099,10426,10572,15424,14827,20514,79,73,95,0,78,573.12,36.7,8968,15.7,3.9,56150
10,Buena Vista,157916.8800000007,160591,2178214.719999938,13.563740931932287,13,20507,1577,10516,9991,15319,14226,16611,590,6,1589,181,1119,580.23,35.2,8237,14.3,3.7,48195
11,Butler,32755.369999999963,31640,360639.67000000033,11.398219658659935,7,14966,2138,7429,7537,11427,11002,14702,59,20,70,0,0,581.76,25.6,6682,11.5,4.0,52360
12,Calhoun,35857.71999999997,35129,416094.8400000024,11.844767570952843,8,9914,1239,5065,4849,7883,7583,9533,134,44,29,0,21,572.11,17.0,5108,9.0,4.0,44921
13,Carroll,212767.6000000008,195604,2866396.950000002,14.65408146050184,12,20629,1719,10066,10563,15632,14923,20025,314,14,16,7,69,570.27,36.6,9376,16.5,3.3,50559
14,Cass,107290.23000000027,101927,1417780.5299999935,13.909764144927188,9,13590,1510,6661,6929,10535,10131,13253,57,45,52,14,49,564.95,24.7,6591,11.7,3.2,43750
15,Cedar,52464.539999999804,58017,649485.9500000048,11.194752400158658,8,18375,2296,9013,9362,14066,13501,17871,72,14,113,0,53,581.9,31.9,8064,13.9,3.0,59047
16,Cerro Gordo,539926.2599999894,549653,7026447.969999404,12.783425124577512,20,43481,2174,21284,22197,34399,32937,41325,544,98,492,0,249,575.12,77.7,22163,39.0,4.4,46122
17,Cherokee,70352.70000000008,77206,901064.1600000064,11.670908478615734,7,11853,1693,5921,5932,9351,9085,11534,54,42,13,0,23,577.07,20.9,5777,10.0,3.7,48599
18,Chickasaw,40656.60999999998,34740,460229.90000000474,13.247838226828,5,12244,2448,6149,6095,9322,8885,12009,67,9,69,0,23,505.66,24.7,5679,11.3,3.8,47040
19,Clarke,57481.80000000001,54712,784725.1800000062,14.342834844275593,6,9280,1546,4686,4594,6978,6751,8910,13,0,42,0,247,431.76,21.5,4086,9.5,5.0,43327
20,Clay,154061.8300000005,144659,1902125.8999999566,13.149032552416072,8,16537,2067,8133,8404,12769,12397,15857,118,18,29,63,200,572.59,29.4,8062,14.2,3.8,50389
21,Clayton,64741.69999999998,61484,850907.2200000073,13.839490273892514,12,17806,1483,8896,8910,13817,13315,17384,166,9,56,0,12,792.66,23.3,8999,11.6,4.2,48007
22,Clinton,312039.60000000114,341175,4145233.8200000045,12.149875635670856,17,48365,2845,23788,24577,37245,35656,45280,1352,197,322,0,285,710.18,70.7,21733,31.3,4.8,50498
23,Crawford,115832.70000000032,108647,1542560.6699999962,14.197913149925872,6,17252,2875,8688,8564,12743,12033,15790,209,148,54,31,616,715.04,23.9,6943,9.7,4.8,48084
24,Dallas,388270.37999999814,373648,6590474.599999722,17.63819048944387,17,74892,4405,36706,38186,53432,51643,68894,843,50,2551,68,926,591.7,112.4,27260,46.3,2.6,76320
25,Davis,9715.75,9423,116875.91999999977,12.403260108245757,1,8742,8742,4295,4447,6203,5955,8612,18,0,27,0,0,504.85,17.4,3600,7.2,4.2,48888
26,Decatur,15320.12000000002,17962,218849.98000000033,12.184054114241194,5,8249,1649,4115,4134,6478,5661,7875,139,42,58,13,11,533.48,15.9,3834,7.2,7.5,38560
27,Delaware,82991.68000000001,78899,1084756.210000011,13.748668677676662,5,17507,3501,8731,8776,13264,12610,17202,39,3,59,0,7,578.95,30.7,8028,13.9,3.6,58274
28,Des Moines,312295.759999998,379058,4691977.5899998145,12.377993842630454,21,40208,1914,19611,20597,30953,29725,36545,2194,45,252,0,128,429.75,96.9,18535,44.5,6.3,44423
29,Dickinson,339353.44999999925,326887,4619784.099999971,14.132663886908842,15,16967,1131,8490,8477,13698,13379,16583,52,23,39,33,30,403.96,43.8,12849,33.8,3.8,57265
30,Dubuque,748271.9999999909,778190,10632798.92000009,13.663499813670299,40,95906,2397,47401,48505,73656,68693,89788,1862,91,1273,300,210,616.63,154.0,38951,64.0,4.3,54605
31,Emmet,58151.17999999992,53507,715121.9800000057,13.365017287457823,4,9917,2479,4887,5030,7750,7041,9575,149,38,17,10,38,402.52,26.0,4758,12.0,4.6,47795
32,Fayette,122392.25000000028,113770,1443788.270000001,12.690412850487835,11,20589,1871,10338,10251,16172,15134,19790,223,105,157,0,39,731.33,28.6,9558,13.1,5.1,44928
33,Floyd,113310.69000000028,118365,1531842.5200000028,12.941684788577728,7,16050,2292,7958,8092,12323,11805,15202,325,1,121,7,58,501.38,32.6,7526,15.0,3.5,44797
34,Franklin,43731.93999999992,43107,540732.9400000037,12.543970584823896,6,10489,1748,5243,5246,8059,7730,9660,112,7,24,0,555,582.52,18.4,4894,8.4,4.2,48605
35,Fremont,2115.05,3088,29757.099999999988,9.636366580310877,1,7106,7106,3523,3583,5540,5298,6880,21,45,0,0,60,516.64,14.6,3431,6.7,3.7,53324
36,Greene,52448.12999999998,50990,716281.1300000051,14.047482447538833,6,9174,1529,4481,4693,7060,6821,8982,5,4,40,3,0,571.21,16.4,4546,8.0,5.6,46898
37,Grundy,34043.229999999996,33889,391787.95000000275,11.560917996990256,8,12407,1550,6095,6312,9419,9073,12196,51,16,47,0,13,501.89,24.8,5530,11.0,3.9,56750
38,Guthrie,27902.27999999998,30269,355955.530000001,11.75973867653378,5,10740,2148,5318,5422,8334,8027,10495,81,12,16,25,49,593.07,18.5,5756,9.7,5.4,51013
39,Hamilton,83245.93999999968,83920,1026947.9800000066,12.237225691134492,8,15297,1912,7467,7830,11741,11339,14326,102,0,342,0,357,577.51,27.2,7219,12.5,3.8,49813
40,Hancock,34468.439999999995,33116,373390.95000000164,11.275243084913686,4,11092,2773,5575,5517,8546,8186,10769,72,14,34,8,45,573.04,19.9,5330,9.3,1.5,52981
41,Hardin,176382.54000000024,159174,2222206.5100000007,13.960863646072855,13,17393,1337,8629,8764,13620,12919,16659,178,48,167,0,171,569.99,30.8,8224,14.4,4.9,51019
42,Harrison,45193.59999999988,50418,589475.9100000012,11.691774961323361,7,14467,2066,7170,7297,11157,10641,14125,8,58,39,4,34,701.64,21.4,6731,9.7,3.6,53567
43,Henry,96035.83000000038,100254,1326409.1200000027,13.230485766153995,5,20080,4016,10254,9826,15541,14876,18471,478,56,437,0,239,436.56,46.4,8280,19.1,5.1,49321
44,Howard,66600.95999999993,55893,808743.0500000047,14.469487234537503,3,9494,3164,4702,4792,7099,6861,9328,31,1,21,0,10,473.61,20.2,4367,9.2,3.4,49869
45,Humboldt,64689.669999999845,60143,791334.6400000058,13.15755183479384,4,9674,2418,4721,4953,7410,7156,9477,13,7,23,0,20,435.67,22.6,4684,10.8,4.8,47252
46,Ida,50573.800000000025,48613,683353.0700000057,14.05700265361129,4,7071,1767,3561,3510,5428,5250,6913,39,34,24,0,20,432.05,16.4,3426,7.9,3.7,46993
47,Iowa,104247.03000000028,97757,1304996.6300000187,13.349393189234723,8,16344,2043,8097,8247,12553,11922,16010,137,7,31,11,23,587.49,27.9,7258,12.4,1.8,59375
48,Jackson,117886.52000000005,117745,1506408.7099999995,12.793823177204972,8,19572,2446,9733,9839,15183,14624,19044,35,13,79,117,10,649.61,31.2,9415,14.8,4.4,49028
49,Jasper,163097.47000000082,170977,2055114.7999999612,12.019831907215364,16,36726,2295,18711,18015,28560,27399,35318,542,106,211,14,51,732.96,50.4,16181,22.2,5.4,55033
50,Jefferson,75401.95000000006,81602,1069085.2500000102,13.101213818288892,4,17318,4329,8981,8337,14112,13524,14744,246,14,1372,0,367,436.88,38.7,7594,17.4,6.4,42899
51,Johnson,1358711.9100000614,1523400,21487870.150000587,14.105205559932116,53,139436,2630,69350,70086,111372,98503,117331,7596,309,8327,202,2717,623.15,213.1,55967,91.1,3.5,55700
52,Jones,100347.3800000002,93248,1210341.2299999855,12.979809003946311,4,20560,5140,10674,9886,16020,15491,19658,394,176,84,0,75,577.0,35.9,8911,15.5,5.0,55060
53,Keokuk,15621.730000000029,16284,178743.8100000004,10.976652542372907,3,10291,3430,5179,5112,7908,7615,10066,0,27,22,1,49,579.92,18.1,4931,8.5,5.1,43838
54,Kossuth,162450.1000000005,149033,2096927.3099999775,14.070221427468933,7,15280,2182,7629,7651,11893,11357,14925,57,13,60,0,54,974.32,16.0,7486,7.7,2.1,51496
55,Lee,319473.6399999991,343869,4678235.799999902,13.604703535357656,17,35369,2080,17767,17602,27760,26435,33033,1068,35,180,0,204,538.87,69.3,16205,31.3,8.7,43312
56,Linn,2153057.6100001447,2417210,30777650.919999037,12.732717024999499,101,216640,2144,106827,109813,164692,155188,194427,9147,527,4303,33,2034,724.5,294.6,92251,128.7,4.8,59322
57,Louisa,20227.519999999997,35567,283361.69000000245,7.966983158545911,5,11271,2254,5751,5520,8553,8113,10398,103,26,286,11,380,417.52,28.3,5002,12.5,4.8,51144
58,Lucas,38312.67999999991,39183,516061.43000000407,13.170544113518721,2,8731,4365,4376,4355,6728,6423,8535,20,22,30,0,0,434.4,20.7,4238,9.8,5.8,43962
59,Lyon,70281.26000000008,69338,958899.5100000027,13.829350572557654,10,11723,1172,5951,5772,8429,8087,11410,7,67,38,2,96,587.78,19.7,4848,8.2,2.4,57130
60,Madison,72856.76000000013,74348,937165.8000000085,12.605124549416374,8,15644,1955,7796,7848,11543,11122,15242,91,13,157,11,32,562.16,27.9,6554,11.7,5.7,60060
61,Mahaska,88087.32000000021,96099,1175924.6600000022,12.236596218483045,6,22396,3732,11202,11194,17051,16009,21380,310,47,254,8,98,573.4,39.2,9766,17.1,8.0,48726
62,Marion,173060.9700000012,180248,2424011.9799999683,13.448204584794107,11,33248,3022,16527,16721,25158,23441,32015,182,58,348,0,139,570.51,60.1,13914,25.1,4.0,54693
63,Marshall,260522.05000000013,282681,3772551.5099999993,13.345613995988408,15,40962,2730,20730,20232,30715,29204,34575,709,145,1183,0,3666,573.2,71.0,16831,29.4,6.3,53351
64,Mills,42830.999999999956,47742,549483.3400000037,11.509432784550368,6,14862,2477,7507,7355,11251,10724,14496,107,61,12,0,6,440.64,34.4,6109,14.0,3.8,63979
65,Mitchell,46212.52,42519,544478.9599999984,12.805544815259024,5,10762,2152,5339,5423,8117,7792,10633,15,2,10,0,12,469.56,23.0,4850,10.3,3.2,49488
66,Monona,47698.44999999993,52863,651115.2700000041,12.317032139681896,4,9088,2272,4518,4570,7255,7023,8826,49,117,11,0,6,698.93,13.3,4697,6.8,5.5,40302
67,Monroe,27528.68999999999,28037,372123.4800000004,13.272585512002012,3,8002,2667,4140,3862,6023,5822,7587,11,2,45,0,129,434.3,18.4,3884,9.0,6.2,46304
68,Montgomery,58179.469999999885,60547,770378.5100000084,12.723644606669337,5,10465,2093,5035,5430,8106,7786,10032,0,19,3,0,136,425.03,25.3,5239,12.4,9.6,42418
69,Muscatine,271625.96,287245,3713013.45000002,12.926294452470957,20,42913,2145,21412,21501,31981,30512,39454,664,104,533,25,1028,449.13,97.7,17910,40.9,4.6,53676
70,O'Brien,123781.71000000018,115300,1530371.18999998,13.272950477016305,10,14092,1409,7048,7044,10808,10353,13359,72,29,119,2,337,573.21,25.1,6649,11.6,2.8,55227
71,Osceola,24843.889999999967,23595,315229.36000000144,13.360006781097752,2,6211,3105,3118,3093,4792,4639,5933,25,22,16,0,165,399.39,16.2,2990,7.5,3.3,49448
72,Page,98008.41000000027,102859,1368915.8800000004,13.30866409356498,8,15660,1957,8072,7588,12228,11728,14804,331,61,183,0,27,535.47,29.8,7181,13.4,5.1,43912
73,Palo Alto,59902.860000000044,54885,755122.2900000014,13.758263459961764,8,9208,1151,4618,4590,7174,6849,8950,116,8,37,0,10,569.43,16.7,4628,8.2,2.9,47113
74,Plymouth,140222.68999999986,134479,1892228.8499999754,14.070812915027442,8,24853,3106,12269,12584,18589,17833,24060,126,26,85,75,237,863.73,29.0,10550,12.2,3.4,57130
75,Pocahontas,36971.96999999996,33218,413261.7400000009,12.440897706063005,5,7127,1425,3548,3579,5551,5418,6878,97,4,9,8,41,578.66,12.7,3794,6.6,4.9,45069
76,Polk,4998207.4199998,5801981,78125595.35003816,13.465331125703127,207,452369,2185,222477,229892,337833,320672,386251,28241,1203,17835,307,6814,591.53,750.5,182262,317.6,5.8,60061
77,Pottawattamie,834082.3099999815,950105,12392288.790000528,13.043072912994383,53,93213,1758,45947,47266,71028,67154,88038,1200,291,574,6,1160,959.13,98.0,39330,41.4,5.0,51976
78,Poweshiek,118391.50000000023,123560,1651266.0699999598,13.364082793784071,14,18705,1336,8987,9718,14823,13421,17738,217,24,391,21,47,586.07,32.3,8949,15.3,4.8,51006
79,Ringgold,13975.430000000004,12738,172483.91000000027,13.54089417490974,3,5061,1687,2474,2587,3850,3699,4949,12,28,24,0,1,538.87,9.6,2613,4.9,4.8,47042
80,Sac,55210.89999999997,50462,670436.6500000019,13.285970631366213,7,10101,1443,4967,5134,7842,7537,9889,71,2,0,3,32,578.33,18.0,5429,9.4,4.0,49572
81,Scott,1618998.7400001928,2040088,24934886.920000255,12.222456541090509,67,169994,2537,83437,86557,128990,122456,146516,13115,434,3892,16,1679,468.21,360.7,71835,156.8,5.4,55114
82,Shelby,71304.50000000015,71066,955082.4200000052,13.439372132946911,4,11992,2998,5886,6106,9268,8925,11521,23,13,58,0,203,591.35,20.6,5542,9.4,2.9,50952
83,Sioux,137807.87999999995,123273,1833374.5099999863,14.872474183316593,9,34509,3834,17404,17105,25222,22888,31934,150,86,254,6,1701,768.99,43.9,12279,16.0,1.8,61627
84,Story,746117.6599999759,768627,10556316.10000043,13.73399073933186,38,93586,2462,48551,45035,77434,63444,82374,2274,173,6132,31,317,573.65,156.3,36789,64.2,5.5,50438
85,Tama,63751.87999999993,66840,789975.4000000106,11.8189018551767,5,17479,3495,8637,8842,13241,12603,15501,89,1273,46,5,225,722.08,24.6,7766,10.8,5.6,55203
86,Taylor,10824.12,12146,142332.82000000056,11.71849333113787,3,6213,2071,3136,3077,4753,4601,5957,13,18,38,0,108,534.66,11.9,3107,5.8,4.4,44246
87,Union,90840.99000000002,87226,1203036.7600000144,13.792180771788393,6,12575,2095,6015,6560,9593,9040,12244,124,51,42,14,1,425.8,29.6,5937,14.0,5.4,44351
88,Van Buren,16095.460000000012,16228,219885.7099999998,13.549772615232918,3,7432,2477,3799,3633,5698,5460,7278,45,9,18,0,6,490.52,15.6,3670,7.6,6.6,45111
89,Wapello,234603.92000000342,260888,3345954.6399999927,12.825253135445067,14,35315,2522,17413,17902,27351,25971,32494,728,55,317,7,1239,436.02,82.5,16098,37.3,8.0,42095
90,Warren,217693.50000000096,227240,2857723.630000003,12.575794886463665,18,47542,2641,23326,24216,35494,33228,46034,239,98,183,51,177,573.35,81.1,18371,32.2,4.8,64447
91,Washington,121797.50000000001,131091,1805538.4599999662,13.773168714861937,7,22017,3145,10847,11170,16587,15878,21112,183,2,101,12,255,570.92,38.2,9516,16.7,4.2,56390
92,Wayne,9836.369999999999,10109,128419.12000000014,12.703444455435765,2,6384,3192,3092,3292,4858,4633,6235,30,20,4,0,0,527.15,12.2,3212,6.1,4.3,43358
93,Webster,294975.9399999978,331198,4086532.13000002,12.338637703126286,20,37295,1864,19193,18102,29211,26995,34283,1604,144,406,0,276,718.43,53.1,17035,23.8,8.4,42408
94,Winnebago,73966.94000000006,73146,895590.3400000181,12.243873075766523,7,10614,1516,5222,5392,8310,7874,10168,98,80,115,1,38,401.72,27.1,5194,13.0,6.2,47668
95,Winneshiek,120631.1499999998,114044,1575744.8499999985,13.816990372137056,5,20884,4176,10386,10498,16881,14882,20189,198,62,259,0,62,690.14,30.5,8721,12.6,3.0,54429
96,Woodbury,821023.0999999845,937810,12316952.400001062,13.133739670083559,38,102530,2698,50448,52082,75604,70731,87371,2862,1859,2681,20,4728,877.77,117.1,41484,47.5,5.2,46720
97,Worth,27623.279999999922,26414,328101.86000000115,12.421513591277396,3,7563,2521,3728,3835,5908,5669,7351,73,10,12,0,19,401.94,19.0,3548,8.9,4.7,48459
98,Wright,61156.95999999999,60978,751998.5200000089,12.332292302141902,10,12936,1293,6446,6490,9949,9627,12247,49,31,65,14,367,582.24,22.8,6529,11.2,5.7,43698
